Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Английский язык","Французский язык","Литература","Родной язык"
"Русский язык","Биология","География","Русский язык","История"
"Английский язык","Русский язык","Русский язык","Технология","Русский язык"
"Математика","Математика", "История","Математика","Русский язык"
"Учебный курс по география","Литература","Математика","Родной язык","Учебный курс по математике"
"Родной язык","Физическая культура","Английский язык","Музыка/ИЗО","Физическая культура"
"","","Обществознание","",""
