Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Технология","География","Физическая культура","Родной язык"
"История","Обществознание","Французский язык","Биология","Русский язык"
"Русский язык","Математика","Физическая культура","Математика","Математика"
"Учебный курс по географии","Музыка/ИЗО", "Математика","Английский язык","Литература"
"Учебный курс по математике","Русский язык","История","Родной язык","Русский язык"
"Родной язык","Английский язык","Русский язык","Русский язык","Английский язык"
"","Технология","","",""
