Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Физика","Английский язык/информатика","Английский язык","Английский язык"
"Физика","Математика","ОБЖ","Учебный курс по географии","Математика"
"Биология","Биология","Родной язык","История","Литература"
"Литература","Учебный курс по физике", "Литература","Родной язык","Химия"
"Обществознание","Русский язык","Математика","Французский язык","География"
"История","Математика","Химия","Математика","Учебный курс по русскому языку"
"Русский язык","","Физическая культура","Родной язык","Физическая культура"
