Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Родной язык","Математика","Химия","Математика"
"ОБЖ","Физика","Биология","Математика","Обществознание"
"Литература","Химия","Учебный курс по физике","Учебный курс по русскому языку","История"
"Математика","Математика", "Учебный курс по географии","География","Физика"
"Физическая культура","История","Русский язык","Русский язык","Литература"
"Французский язык","Биология","Литература","Физическая культура","Английский язык"
"Английскй язык/информатика","Английский язык","Родной язык","Родной язык",""
