Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Физическая культура","Литература","Обществознание","Русский язык"
"Французский язык","Учебный курс по биологии","История","Математика","Физическая культура"
"География","Математика","Русский язык","Учебный курс по английскому языку","Литература"
"Русский язык","Биология", "Английский язык","Учебный курс по физике","География"
"Математика","Информатика/технология","Информатика/технология","Русский язык","Математика"
"Физика","Музыка/ИЗО","Математика","История","Родной язык"
"Родной язык","Родной язык","","","Английский язык"
