Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Родной язык","Русский язык","Математика","Родной язык"
"Французский язык","Литература","Физическая культура","Русский язык","Английскй язык/информатика"
"История","Родной язык","Математика","Учебный курс по физике","Английскй язык/информатика"
"География","Учебный курс по географии", "Обществознание","Математика","Математика"
"Учебный курс по русскому языку","Биология","Английский язык","Физика","Биология"
"Литература","Химия","История","Химия","Физическая культура"
"Математика","","Литература","ОБЖ","Физика"
