Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Английский язык","Индивидуальный проект","Родной язык","География"
"Учебный курс по русскому языку","Математика","Английскй язык/информатика","Учебный курс по информатике/Физическая культура","Учебный курс по физике"
"Химия","Обществознание","Учебный курс по обществознанию","География","ОБЖ"
"Литература","Биология", "Математика","Математика","Математика"
"Русский язык","История","Литература","Учебный курс по биологии","Литература"
"Математика","Английскй язык/информатика","Учебный курс по информатике/Физическая культура","Учебный курс по математике","История"
"Физическая культура","Учебный курс по химии","Физика","Родной язык","Английский язык"
