Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Математика","Учебный курс по химии","Физика","Физика"
"Учебный курс по обществознанию","История","Индивидуальный проект","Литература","Химия"
"Английскй язык/информатика","Литература","Учебный курс по математика","История","Учебный курс по русскому языку"
"Учебный курс по физике","Русский язык", "Учебный курс по информатике/Физическая культура","Учебный курс по информатике/Физическая культура","Литература"
"Английскй язык/информатика","Обществознание","Биология","Учебный курс по биологии","Физическая культура"
"Математика","Родной язык","Математика","Математика","Родной язык"
"Астрономия","Английский язык","ОБЖ","Английский язык","Математика"
