Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Русский язык","Русский язык","Математика","Учебный курс по географии"
"Русский язык","Математика","Математика","Русский язык","Родной язык"
"Учебный курс по математике","Родной язык","Английский язык","Обществознание","Русский язык"
"Английский язык","Литература", "Русский язык","Биология","Математика"
"Родной язык","Физическая культура","Французский язык","География","История"
"Музыка/ИЗО","История","Физическая культура","Английский язык","Литература"
"","Технология","","",""
