Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","География","Математика","История","Технология"
"Математика","Русский язык","Литература","Обществознание","Родной язык"
"ОБЖ","Учебный курс по физике","Учебный курс по географии","Химия","Биология"
"Английский язык","Математика", "Физическая культура","Математика","История"
"Родной язык","Математика","Химия","Физическая культура","Русский язык"
"Литература","Английский язык","Учебный курс по биологии","Русский язык","Физика"
"Музыка","Родной язык","Английский язык/информатика","Французский язык","Английский язык/информатика"
