Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","География","Русский язык","ИЗО","Литература"
"Родной язык","Математика","Английский язык","Технология","Математика"
"Математика","Русский язык","Математика","Музыка","Русский язык"
"История","История", "Биология","Математика","Русский язык"
"Технология","Родной язык","Литература","Русский язык","Английский язык"
"Литература","Родной язык","Физическая культура","Английский язык","Физическая культура"
