Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Физическая культруа","Родной язык","Литература","Биология"
"Английскй язык/информатика","Учебный курс по географии","География","Физическая культура","Литература"
"Физика","Математика","Биология","Родной язык","Химия"
"Химия","Обществознание", "Математика","История","ОБЖ"
"Математика","Французский язык","Учебный курс по физике","Родной язык","История"
"Английский язык","Русский язык","Математика","Английский язык","Математика"
"","Учебный курс по русскому языку","Литература","Физика","Русский язык"
