Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Русский язык","Физическая культура","Музыка","Биология"
"Англйиский язык","Технология","Математика","Русский язык","Русский язык"
"Математика","История","Русский язык","Литература","Математика"
"Родной язык","Математика", "Литература","ИЗО","История"
"Русский язык","География","Английский язык","Математика","Технология"
"Физическая культура","Литература","Родной язык","Родной язык","Английский язык"
