Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Учебный курс по биологии","Литература","Английский язык","Физическая культура"
"Учебный курс по географии","ОБЖ","Учебный курс по физике","Математика","История"
"Русский язык","Математика","Математика","Английский язык/информатика","География"
"Родной язык","Русский язык", "История","Русский язык","Математика"
"Биология","Физическая культура","Обществознание","Математика","Английский язык/информатика"
"Английский язык","Литература","Родной язык","Родной язык","Химия"
"Технология","Физика","Французский язык","Химия","Музыка"
