Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Математика","Математика","Русский язык","Русский язык"
"Математика","Русский язык","Русский язык","История","Математика"
"Технология","Литература","История","Математика","Технология"
"Родной язык","Английский язык", "Английский язык","Музыка","ИЗО"
"Русский язык","Биология","Литература","Литература","Английский язык"
"Физическая культура","Физическая культура","Родной язык","Родной язык","География"
