Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Обществознание","История","Математика","Физическая культура"
"Русский язык","Родной язык","Математика","География","Французский язык"
"Математика","Русский язык","Информатика/технология","Биология","Математика"
"Физическая культура","Информатика", "Русский язык","Русский язык","Литература"
"Физика","Музыка/ИЗО","Литература","Математика","География"
"Учебный курс по биологии","Английский язык","Английский язык","Учебный курс по физике","История"
"Учебный курс по английскому языку","","Родной язык","","Родной язык"
