Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Английский язык","Английский язык","История","Математика"
"Биология","Русский язык","Технология","Математика","Родной язык"
"Русский язык","Родной язык","Русский язык","Французский язык","Физическая культура"
"Обществознание","История", "Учебный курс по географии","Русский язык","География"
"Родной язык","Литература","Физическая культура","Русский язык","Английский язык"
"Русский язык","Математика","Музыка/ИЗО","Литература","Математика"
"Учебный курс по математике","","","",""
