Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Русский язык","Учебный курс по физике","Биология","Учебный курс по английскому языку"
"Математика","Родной язык","Русский язык","История","Русский язык"
"Английский язык","Информатика/технология","История","Математика","География"
"Учебный курс по биологии","Литература", "Французский язык","Русский язык","Информатика/технология"
"Физическая культура","Математика","География","Физическая культура","Математика"
"Математика","Физика","Английский язык","Обществознание","Музыка/ИЗО"
"","","Родной язык","Литература","Родной язык"
