Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Русский язык","История","Математика","ИЗО"
"Технология","Литература","Русский язык","Английский язык","Английский язык"
"Русский язык","Английский язык","Математика","Русский язык","Родной язык"
"Математика","Родной язык", "Технология","История","Родной язык"
"Биология","Математика","Физическая кульутра","Музыка","Русский язык"
"Литература","География","Литература","Физическая культура","Математика"
