Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Химия","Математика","Физическая культура","Родной язык"
"Математика","Родной язык","История","Физика","Математика"
"Английский язык","ОБЖ","Русский язык","Русский язык","Учебный курс по физике"
"Литература","Физическая культура", "Биология","Литература","Учебный курс по биологии"
"Учебный курс по географии","Математика","География","Математика","Химия"
"Английский язык/информатика","Русский язык","Обществознание","История","Английский язык/информатика"
"Французский язык","Музыка","Английский язык","Технология","Родной язык"
