Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","Английский язык/информатика","География","Технология","Английский язык"
"Биология","Английский язык/информатика","Химия","Русский язык","Учебный курс по географии"
"Физическая культура","Физическая культура","Английский язык","ОБЖ","История"
"Родной язык","Русский язык", "Учебный курс по физике","Учебный курс по биологии","Обществознание"
"Литература","Литература","Математика","История","Физика"
"Химия","Математика","Родной язык","Родной язык","Русский язык"
"Математика","Французский язык","Музыка","Математика","Математика"
