Понедельник,Вторник,Среда,Четверг,Пятница
"Разговоры о важном","История","Технология","Русский язык","История"
"Математика","Литература","Русский язык","Музыка","Технология"
"Русский язык","География","Биология","Математика","Математика"
"Английский язык","Математика", "Математика","Литература","История"
"Английский язык","Русский язык","Родной язык","ИЗО","Технология"
"Родной язык","Физическая культура","Литература","Физическая культура","Английский язык"
